TransactionID,Date,ProductID,QuantitySold,UnitPrice
1,01-03-2024,A101,2,10.5
2,01-03-2024,B205,1,15.75
3,02-03-2024,A101,,12
4,02-03-2024,C304,3,9.5
5,03-03-2024,B205,2,15
6,03-03-2024,D408,1,22.75
7,04-03-2024,A101,1,10.5
8,04-03-2024,C304,2,9.75
9,05-03-2024,B205,1,15
10,05-03-2024,D408,,22.5
11,06-03-2024,A101,1,
12,06-03-2024,B205,2,9.5
13,07-03-2024,C304,1,12.75
14,07-03-2024,D408,,22.5
15,08-03-2024,B205,3,
16,08-03-2024,D408,2,10.75
17,09-03-2024,A101,4,16
18,09-03-2024,C304,1,20.5
19,10-03-2024,B205,1,22.75
20,10-03-2024,A101,1,15.75
